,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
4015515,4015515,PL,2020-01-03,Deaths,,,,OxCGRT
4015516,4015516,PL,2020-01-03,E1,0.0,,,OxCGRT
4015517,4015517,PL,2020-01-03,E2,0.0,,,OxCGRT
4015518,4015518,PL,2020-01-03,E3,0.0,,,OxCGRT
4015519,4015519,PL,2020-01-03,E4,0.0,,,OxCGRT
4015520,4015520,PL,2020-01-03,H1,0.0,,,OxCGRT
4015521,4015521,PL,2020-01-03,H2,0.0,,,OxCGRT
4015522,4015522,PL,2020-01-03,H3,0.0,,,OxCGRT
4015523,4015523,PL,2020-01-03,H4,0.0,,,OxCGRT
4015524,4015524,PL,2020-01-03,H5,0.0,,,OxCGRT
4015525,4015525,PL,2020-01-03,H6,0.0,,,OxCGRT
4015526,4015526,PL,2020-01-03,H7,0.0,,,OxCGRT
4015527,4015527,PL,2020-01-03,H8,0.0,,,OxCGRT
4015528,4015528,PL,2020-01-03,I1,0.0,,,OxCGRT
4015529,4015529,PL,2020-01-03,I1D,0.0,,,OxCGRT
4015530,4015530,PL,2020-01-03,I2,0.0,,,OxCGRT
4015531,4015531,PL,2020-01-03,I2D,0.0,,,OxCGRT
4015532,4015532,PL,2020-01-03,I3,0.0,,,OxCGRT
4015533,4015533,PL,2020-01-03,I3D,0.0,,,OxCGRT
4015534,4015534,PL,2020-01-03,I4,0.0,,,OxCGRT
4015535,4015535,PL,2020-01-03,I4D,0.0,,,OxCGRT
4015536,4015536,PL,2020-01-03,I4L,0.0,,,OxCGRT
4015537,4015537,PL,2020-01-03,I4LD,0.0,,,OxCGRT
4015538,4015538,PL,2020-01-03,M1,,,,OxCGRT
4015539,4015539,PL,2020-01-04,C1,0.0,,,OxCGRT
4015540,4015540,PL,2020-01-04,C2,0.0,,,OxCGRT
4015541,4015541,PL,2020-01-04,C3,0.0,,,OxCGRT
4015542,4015542,PL,2020-01-04,C4,0.0,,,OxCGRT
4015543,4015543,PL,2020-01-04,C5,0.0,,,OxCGRT
4015544,4015544,PL,2020-01-04,C6,0.0,,,OxCGRT
4015545,4015545,PL,2020-01-04,C7,0.0,,,OxCGRT
4015546,4015546,PL,2020-01-04,C8,0.0,,,OxCGRT
4015547,4015547,PL,2020-01-04,Cases,,,,OxCGRT
4015548,4015548,PL,2020-01-04,Deaths,,,,OxCGRT
4015549,4015549,PL,2020-01-04,E1,0.0,,,OxCGRT
4015550,4015550,PL,2020-01-04,E2,0.0,,,OxCGRT
4015551,4015551,PL,2020-01-04,E3,0.0,,,OxCGRT
4015552,4015552,PL,2020-01-04,E4,0.0,,,OxCGRT
4015553,4015553,PL,2020-01-04,H1,0.0,,,OxCGRT
4015554,4015554,PL,2020-01-04,H2,0.0,,,OxCGRT
4015555,4015555,PL,2020-01-04,H3,0.0,,,OxCGRT
4015556,4015556,PL,2020-01-04,H4,0.0,,,OxCGRT
4015557,4015557,PL,2020-01-04,H5,0.0,,,OxCGRT
4015558,4015558,PL,2020-01-04,H6,0.0,,,OxCGRT
4015559,4015559,PL,2020-01-04,H7,0.0,,,OxCGRT
4015560,4015560,PL,2020-01-04,H8,0.0,,,OxCGRT
4015561,4015561,PL,2020-01-04,I1,0.0,,,OxCGRT
4015562,4015562,PL,2020-01-04,I1D,0.0,,,OxCGRT
4015563,4015563,PL,2020-01-04,I2,0.0,,,OxCGRT
4015564,4015564,PL,2020-01-04,I2D,0.0,,,OxCGRT
4015565,4015565,PL,2020-01-04,I3,0.0,,,OxCGRT
4015566,4015566,PL,2020-01-04,I3D,0.0,,,OxCGRT
4015567,4015567,PL,2020-01-04,I4,0.0,,,OxCGRT
4015568,4015568,PL,2020-01-04,I4D,0.0,,,OxCGRT
4015569,4015569,PL,2020-01-04,I4L,0.0,,,OxCGRT
4015570,4015570,PL,2020-01-04,I4LD,0.0,,,OxCGRT
4015571,4015571,PL,2020-01-04,M1,,,,OxCGRT
4015572,4015572,PL,2020-01-05,C1,0.0,,,OxCGRT
4015573,4015573,PL,2020-01-05,C2,0.0,,,OxCGRT
4015574,4015574,PL,2020-01-05,C3,0.0,,,OxCGRT
4015575,4015575,PL,2020-01-05,C4,0.0,,,OxCGRT
4015576,4015576,PL,2020-01-05,C5,0.0,,,OxCGRT
4015577,4015577,PL,2020-01-05,C6,0.0,,,OxCGRT
4015578,4015578,PL,2020-01-05,C7,0.0,,,OxCGRT
4015579,4015579,PL,2020-01-05,C8,0.0,,,OxCGRT
4015580,4015580,PL,2020-01-05,Cases,,,,OxCGRT
4015581,4015581,PL,2020-01-05,Deaths,,,,OxCGRT
4015582,4015582,PL,2020-01-05,E1,0.0,,,OxCGRT
4015583,4015583,PL,2020-01-05,E2,0.0,,,OxCGRT
4015584,4015584,PL,2020-01-05,E3,0.0,,,OxCGRT
4015585,4015585,PL,2020-01-05,E4,0.0,,,OxCGRT
4015586,4015586,PL,2020-01-05,H1,0.0,,,OxCGRT
4015587,4015587,PL,2020-01-05,H2,0.0,,,OxCGRT
4015588,4015588,PL,2020-01-05,H3,0.0,,,OxCGRT
4015589,4015589,PL,2020-01-05,H4,0.0,,,OxCGRT
4015590,4015590,PL,2020-01-05,H5,0.0,,,OxCGRT
4015591,4015591,PL,2020-01-05,H6,0.0,,,OxCGRT
4015592,4015592,PL,2020-01-05,H7,0.0,,,OxCGRT
4015593,4015593,PL,2020-01-05,H8,0.0,,,OxCGRT
4015594,4015594,PL,2020-01-05,I1,0.0,,,OxCGRT
4015595,4015595,PL,2020-01-05,I1D,0.0,,,OxCGRT
4015596,4015596,PL,2020-01-05,I2,0.0,,,OxCGRT
4015597,4015597,PL,2020-01-05,I2D,0.0,,,OxCGRT
4015598,4015598,PL,2020-01-05,I3,0.0,,,OxCGRT
4015599,4015599,PL,2020-01-05,I3D,0.0,,,OxCGRT
4015600,4015600,PL,2020-01-05,I4,0.0,,,OxCGRT
4015601,4015601,PL,2020-01-05,I4D,0.0,,,OxCGRT
4015602,4015602,PL,2020-01-05,I4L,0.0,,,OxCGRT
4015603,4015603,PL,2020-01-05,I4LD,0.0,,,OxCGRT
4015604,4015604,PL,2020-01-05,M1,,,,OxCGRT
4015605,4015605,PL,2020-01-06,C1,0.0,,,OxCGRT
4015606,4015606,PL,2020-01-06,C2,0.0,,,OxCGRT
4015607,4015607,PL,2020-01-06,C3,0.0,,,OxCGRT
4015608,4015608,PL,2020-01-06,C4,0.0,,,OxCGRT
4015609,4015609,PL,2020-01-06,C5,0.0,,,OxCGRT
4015610,4015610,PL,2020-01-06,C6,0.0,,,OxCGRT
4015611,4015611,PL,2020-01-06,C7,0.0,,,OxCGRT
4015612,4015612,PL,2020-01-06,C8,0.0,,,OxCGRT
4015613,4015613,PL,2020-01-06,Cases,,,,OxCGRT
4015614,4015614,PL,2020-01-06,Deaths,,,,OxCGRT
4015615,4015615,PL,2020-01-06,E1,0.0,,,OxCGRT
4015616,4015616,PL,2020-01-06,E2,0.0,,,OxCGRT
4015617,4015617,PL,2020-01-06,E3,0.0,,,OxCGRT
4015618,4015618,PL,2020-01-06,E4,0.0,,,OxCGRT
4015619,4015619,PL,2020-01-06,H1,0.0,,,OxCGRT
4015620,4015620,PL,2020-01-06,H2,0.0,,,OxCGRT
4015621,4015621,PL,2020-01-06,H3,0.0,,,OxCGRT
4015622,4015622,PL,2020-01-06,H4,0.0,,,OxCGRT
4015623,4015623,PL,2020-01-06,H5,0.0,,,OxCGRT
4015624,4015624,PL,2020-01-06,H6,0.0,,,OxCGRT
4015625,4015625,PL,2020-01-06,H7,0.0,,,OxCGRT
4015626,4015626,PL,2020-01-06,H8,0.0,,,OxCGRT
4015627,4015627,PL,2020-01-06,I1,0.0,,,OxCGRT
4015628,4015628,PL,2020-01-06,I1D,0.0,,,OxCGRT
4015629,4015629,PL,2020-01-06,I2,0.0,,,OxCGRT
4015630,4015630,PL,2020-01-06,I2D,0.0,,,OxCGRT
4015631,4015631,PL,2020-01-06,I3,0.0,,,OxCGRT
4015632,4015632,PL,2020-01-06,I3D,0.0,,,OxCGRT
4015633,4015633,PL,2020-01-06,I4,0.0,,,OxCGRT
4015634,4015634,PL,2020-01-06,I4D,0.0,,,OxCGRT
4015635,4015635,PL,2020-01-06,I4L,0.0,,,OxCGRT
4015636,4015636,PL,2020-01-06,I4LD,0.0,,,OxCGRT
4015637,4015637,PL,2020-01-06,M1,,,,OxCGRT
4015638,4015638,PL,2020-01-07,C1,0.0,,,OxCGRT
4015639,4015639,PL,2020-01-07,C2,0.0,,,OxCGRT
4015640,4015640,PL,2020-01-07,C3,0.0,,,OxCGRT
4015641,4015641,PL,2020-01-07,C4,0.0,,,OxCGRT
4015642,4015642,PL,2020-01-07,C5,0.0,,,OxCGRT
4015643,4015643,PL,2020-01-07,C6,0.0,,,OxCGRT
4015644,4015644,PL,2020-01-07,C7,0.0,,,OxCGRT
4015645,4015645,PL,2020-01-07,C8,0.0,,,OxCGRT
4015646,4015646,PL,2020-01-07,Cases,,,,OxCGRT
4015647,4015647,PL,2020-01-07,Deaths,,,,OxCGRT
4015648,4015648,PL,2020-01-07,E1,0.0,,,OxCGRT
4015649,4015649,PL,2020-01-07,E2,0.0,,,OxCGRT
4015650,4015650,PL,2020-01-07,E3,0.0,,,OxCGRT
4015651,4015651,PL,2020-01-07,E4,0.0,,,OxCGRT
4015652,4015652,PL,2020-01-07,H1,0.0,,,OxCGRT
4015653,4015653,PL,2020-01-07,H2,0.0,,,OxCGRT
4015654,4015654,PL,2020-01-07,H3,0.0,,,OxCGRT
4015655,4015655,PL,2020-01-07,H4,0.0,,,OxCGRT
4015656,4015656,PL,2020-01-07,H5,0.0,,,OxCGRT
4015657,4015657,PL,2020-01-07,H6,0.0,,,OxCGRT
4015658,4015658,PL,2020-01-07,H7,0.0,,,OxCGRT
4015659,4015659,PL,2020-01-07,H8,0.0,,,OxCGRT
4015660,4015660,PL,2020-01-07,I1,0.0,,,OxCGRT
4015661,4015661,PL,2020-01-07,I1D,0.0,,,OxCGRT
4015662,4015662,PL,2020-01-07,I2,0.0,,,OxCGRT
4015663,4015663,PL,2020-01-07,I2D,0.0,,,OxCGRT
4015664,4015664,PL,2020-01-07,I3,0.0,,,OxCGRT
4015665,4015665,PL,2020-01-07,I3D,0.0,,,OxCGRT
4015666,4015666,PL,2020-01-07,I4,0.0,,,OxCGRT
4015667,4015667,PL,2020-01-07,I4D,0.0,,,OxCGRT
4015668,4015668,PL,2020-01-07,I4L,0.0,,,OxCGRT
4015669,4015669,PL,2020-01-07,I4LD,0.0,,,OxCGRT
4015670,4015670,PL,2020-01-07,M1,,,,OxCGRT
4015671,4015671,PL,2020-01-08,C1,0.0,,,OxCGRT
4015672,4015672,PL,2020-01-08,C2,0.0,,,OxCGRT
4015673,4015673,PL,2020-01-08,C3,0.0,,,OxCGRT
4015674,4015674,PL,2020-01-08,C4,0.0,,,OxCGRT
4015675,4015675,PL,2020-01-08,C5,0.0,,,OxCGRT
4015676,4015676,PL,2020-01-08,C6,0.0,,,OxCGRT
4015677,4015677,PL,2020-01-08,C7,0.0,,,OxCGRT
4015678,4015678,PL,2020-01-08,C8,0.0,,,OxCGRT
4015679,4015679,PL,2020-01-08,Cases,,,,OxCGRT
4015680,4015680,PL,2020-01-08,Deaths,,,,OxCGRT
4015681,4015681,PL,2020-01-08,E1,0.0,,,OxCGRT
4015682,4015682,PL,2020-01-08,E2,0.0,,,OxCGRT
4015683,4015683,PL,2020-01-08,E3,0.0,,,OxCGRT
4015684,4015684,PL,2020-01-08,E4,0.0,,,OxCGRT
4015685,4015685,PL,2020-01-08,H1,0.0,,,OxCGRT
4015686,4015686,PL,2020-01-08,H2,0.0,,,OxCGRT
4015687,4015687,PL,2020-01-08,H3,0.0,,,OxCGRT
4015688,4015688,PL,2020-01-08,H4,0.0,,,OxCGRT
4015689,4015689,PL,2020-01-08,H5,0.0,,,OxCGRT
4015690,4015690,PL,2020-01-08,H6,0.0,,,OxCGRT
4015691,4015691,PL,2020-01-08,H7,0.0,,,OxCGRT
