,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
3706640,3706640,MY,2020-01-03,H1,0.0,,,OxCGRT
3706641,3706641,MY,2020-01-03,H2,0.0,,,OxCGRT
3706642,3706642,MY,2020-01-03,H3,0.0,,,OxCGRT
3706643,3706643,MY,2020-01-03,H4,0.0,,,OxCGRT
3706644,3706644,MY,2020-01-03,H5,0.0,,,OxCGRT
3706645,3706645,MY,2020-01-03,H6,0.0,,,OxCGRT
3706646,3706646,MY,2020-01-03,H7,0.0,,,OxCGRT
3706647,3706647,MY,2020-01-03,H8,0.0,,,OxCGRT
3706648,3706648,MY,2020-01-03,I1,0.0,,,OxCGRT
3706649,3706649,MY,2020-01-03,I1D,0.0,,,OxCGRT
3706650,3706650,MY,2020-01-03,I2,0.0,,,OxCGRT
3706651,3706651,MY,2020-01-03,I2D,0.0,,,OxCGRT
3706652,3706652,MY,2020-01-03,I3,0.0,,,OxCGRT
3706653,3706653,MY,2020-01-03,I3D,0.0,,,OxCGRT
3706654,3706654,MY,2020-01-03,I4,0.0,,,OxCGRT
3706655,3706655,MY,2020-01-03,I4D,0.0,,,OxCGRT
3706656,3706656,MY,2020-01-03,I4L,0.0,,,OxCGRT
3706657,3706657,MY,2020-01-03,I4LD,0.0,,,OxCGRT
3706658,3706658,MY,2020-01-03,M1,,,,OxCGRT
3706659,3706659,MY,2020-01-04,C1,0.0,,,OxCGRT
3706660,3706660,MY,2020-01-04,C2,0.0,,,OxCGRT
3706661,3706661,MY,2020-01-04,C3,0.0,,,OxCGRT
3706662,3706662,MY,2020-01-04,C4,0.0,,,OxCGRT
3706663,3706663,MY,2020-01-04,C5,0.0,,,OxCGRT
3706664,3706664,MY,2020-01-04,C6,0.0,,,OxCGRT
3706665,3706665,MY,2020-01-04,C7,0.0,,,OxCGRT
3706666,3706666,MY,2020-01-04,C8,0.0,,,OxCGRT
3706667,3706667,MY,2020-01-04,Cases,,,,OxCGRT
3706668,3706668,MY,2020-01-04,Deaths,,,,OxCGRT
3706669,3706669,MY,2020-01-04,E1,0.0,,,OxCGRT
3706670,3706670,MY,2020-01-04,E2,0.0,,,OxCGRT
3706671,3706671,MY,2020-01-04,E3,0.0,,,OxCGRT
3706672,3706672,MY,2020-01-04,E4,0.0,,,OxCGRT
3706673,3706673,MY,2020-01-04,H1,0.0,,,OxCGRT
3706674,3706674,MY,2020-01-04,H2,0.0,,,OxCGRT
3706675,3706675,MY,2020-01-04,H3,0.0,,,OxCGRT
3706676,3706676,MY,2020-01-04,H4,0.0,,,OxCGRT
3706677,3706677,MY,2020-01-04,H5,0.0,,,OxCGRT
3706678,3706678,MY,2020-01-04,H6,0.0,,,OxCGRT
3706679,3706679,MY,2020-01-04,H7,0.0,,,OxCGRT
3706680,3706680,MY,2020-01-04,H8,0.0,,,OxCGRT
3706681,3706681,MY,2020-01-04,I1,0.0,,,OxCGRT
3706682,3706682,MY,2020-01-04,I1D,0.0,,,OxCGRT
3706683,3706683,MY,2020-01-04,I2,0.0,,,OxCGRT
3706684,3706684,MY,2020-01-04,I2D,0.0,,,OxCGRT
3706685,3706685,MY,2020-01-04,I3,0.0,,,OxCGRT
3706686,3706686,MY,2020-01-04,I3D,0.0,,,OxCGRT
3706687,3706687,MY,2020-01-04,I4,0.0,,,OxCGRT
3706688,3706688,MY,2020-01-04,I4D,0.0,,,OxCGRT
3706689,3706689,MY,2020-01-04,I4L,0.0,,,OxCGRT
3706690,3706690,MY,2020-01-04,I4LD,0.0,,,OxCGRT
3706691,3706691,MY,2020-01-04,M1,,,,OxCGRT
3706692,3706692,MY,2020-01-05,C1,0.0,,,OxCGRT
3706693,3706693,MY,2020-01-05,C2,0.0,,,OxCGRT
3706694,3706694,MY,2020-01-05,C3,0.0,,,OxCGRT
3706695,3706695,MY,2020-01-05,C4,0.0,,,OxCGRT
3706696,3706696,MY,2020-01-05,C5,0.0,,,OxCGRT
3706697,3706697,MY,2020-01-05,C6,0.0,,,OxCGRT
3706698,3706698,MY,2020-01-05,C7,0.0,,,OxCGRT
3706699,3706699,MY,2020-01-05,C8,0.0,,,OxCGRT
3706700,3706700,MY,2020-01-05,Cases,,,,OxCGRT
3706701,3706701,MY,2020-01-05,Deaths,,,,OxCGRT
3706702,3706702,MY,2020-01-05,E1,0.0,,,OxCGRT
3706703,3706703,MY,2020-01-05,E2,0.0,,,OxCGRT
3706704,3706704,MY,2020-01-05,E3,0.0,,,OxCGRT
3706705,3706705,MY,2020-01-05,E4,0.0,,,OxCGRT
3706706,3706706,MY,2020-01-05,H1,0.0,,,OxCGRT
3706707,3706707,MY,2020-01-05,H2,0.0,,,OxCGRT
3706708,3706708,MY,2020-01-05,H3,0.0,,,OxCGRT
3706709,3706709,MY,2020-01-05,H4,0.0,,,OxCGRT
3706710,3706710,MY,2020-01-05,H5,0.0,,,OxCGRT
3706711,3706711,MY,2020-01-05,H6,0.0,,,OxCGRT
3706712,3706712,MY,2020-01-05,H7,0.0,,,OxCGRT
3706713,3706713,MY,2020-01-05,H8,0.0,,,OxCGRT
3706714,3706714,MY,2020-01-05,I1,0.0,,,OxCGRT
3706715,3706715,MY,2020-01-05,I1D,0.0,,,OxCGRT
3706716,3706716,MY,2020-01-05,I2,0.0,,,OxCGRT
3706717,3706717,MY,2020-01-05,I2D,0.0,,,OxCGRT
3706718,3706718,MY,2020-01-05,I3,0.0,,,OxCGRT
3706719,3706719,MY,2020-01-05,I3D,0.0,,,OxCGRT
3706720,3706720,MY,2020-01-05,I4,0.0,,,OxCGRT
3706721,3706721,MY,2020-01-05,I4D,0.0,,,OxCGRT
3706722,3706722,MY,2020-01-05,I4L,0.0,,,OxCGRT
3706723,3706723,MY,2020-01-05,I4LD,0.0,,,OxCGRT
3706724,3706724,MY,2020-01-05,M1,,,,OxCGRT
3706725,3706725,MY,2020-01-06,C1,0.0,,,OxCGRT
3706726,3706726,MY,2020-01-06,C2,0.0,,,OxCGRT
3706727,3706727,MY,2020-01-06,C3,0.0,,,OxCGRT
3706728,3706728,MY,2020-01-06,C4,0.0,,,OxCGRT
3706729,3706729,MY,2020-01-06,C5,0.0,,,OxCGRT
3706730,3706730,MY,2020-01-06,C6,0.0,,,OxCGRT
3706731,3706731,MY,2020-01-06,C7,0.0,,,OxCGRT
3706732,3706732,MY,2020-01-06,C8,0.0,,,OxCGRT
3706733,3706733,MY,2020-01-06,Cases,,,,OxCGRT
3706734,3706734,MY,2020-01-06,Deaths,,,,OxCGRT
3706735,3706735,MY,2020-01-06,E1,0.0,,,OxCGRT
3706736,3706736,MY,2020-01-06,E2,0.0,,,OxCGRT
3706737,3706737,MY,2020-01-06,E3,0.0,,,OxCGRT
3706738,3706738,MY,2020-01-06,E4,0.0,,,OxCGRT
3706739,3706739,MY,2020-01-06,H1,0.0,,,OxCGRT
3706740,3706740,MY,2020-01-06,H2,0.0,,,OxCGRT
3706741,3706741,MY,2020-01-06,H3,0.0,,,OxCGRT
3706742,3706742,MY,2020-01-06,H4,0.0,,,OxCGRT
3706743,3706743,MY,2020-01-06,H5,0.0,,,OxCGRT
3706744,3706744,MY,2020-01-06,H6,0.0,,,OxCGRT
3706745,3706745,MY,2020-01-06,H7,0.0,,,OxCGRT
3706746,3706746,MY,2020-01-06,H8,0.0,,,OxCGRT
3706747,3706747,MY,2020-01-06,I1,0.0,,,OxCGRT
3706748,3706748,MY,2020-01-06,I1D,0.0,,,OxCGRT
3706749,3706749,MY,2020-01-06,I2,0.0,,,OxCGRT
3706750,3706750,MY,2020-01-06,I2D,0.0,,,OxCGRT
3706751,3706751,MY,2020-01-06,I3,0.0,,,OxCGRT
3706752,3706752,MY,2020-01-06,I3D,0.0,,,OxCGRT
3706753,3706753,MY,2020-01-06,I4,0.0,,,OxCGRT
3706754,3706754,MY,2020-01-06,I4D,0.0,,,OxCGRT
3706755,3706755,MY,2020-01-06,I4L,0.0,,,OxCGRT
3706756,3706756,MY,2020-01-06,I4LD,0.0,,,OxCGRT
3706757,3706757,MY,2020-01-06,M1,,,,OxCGRT
3706758,3706758,MY,2020-01-07,C1,0.0,,,OxCGRT
3706759,3706759,MY,2020-01-07,C2,0.0,,,OxCGRT
