,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
2529035,2529035,GB,2020-01-03,H1,0.0,,,OxCGRT
2529036,2529036,GB,2020-01-03,H2,0.0,,,OxCGRT
2529037,2529037,GB,2020-01-03,H3,0.0,,,OxCGRT
2529038,2529038,GB,2020-01-03,H4,0.0,,,OxCGRT
2529039,2529039,GB,2020-01-03,H5,0.0,,,OxCGRT
2529040,2529040,GB,2020-01-03,H6,0.0,,,OxCGRT
2529041,2529041,GB,2020-01-03,H7,0.0,,,OxCGRT
2529042,2529042,GB,2020-01-03,H8,0.0,,,OxCGRT
2529043,2529043,GB,2020-01-03,I1,0.0,,,OxCGRT
2529044,2529044,GB,2020-01-03,I1D,0.0,,,OxCGRT
2529045,2529045,GB,2020-01-03,I2,0.0,,,OxCGRT
2529046,2529046,GB,2020-01-03,I2D,0.0,,,OxCGRT
2529047,2529047,GB,2020-01-03,I3,0.0,,,OxCGRT
2529048,2529048,GB,2020-01-03,I3D,0.0,,,OxCGRT
2529049,2529049,GB,2020-01-03,I4,0.0,,,OxCGRT
2529050,2529050,GB,2020-01-03,I4D,0.0,,,OxCGRT
2529051,2529051,GB,2020-01-03,I4L,0.0,,,OxCGRT
2529052,2529052,GB,2020-01-03,I4LD,0.0,,,OxCGRT
2529053,2529053,GB,2020-01-03,M1,,,,OxCGRT
2529054,2529054,GB,2020-01-04,C1,0.0,,,OxCGRT
2529055,2529055,GB,2020-01-04,C2,0.0,,,OxCGRT
2529056,2529056,GB,2020-01-04,C3,0.0,,,OxCGRT
2529057,2529057,GB,2020-01-04,C4,0.0,,,OxCGRT
2529058,2529058,GB,2020-01-04,C5,0.0,,,OxCGRT
2529059,2529059,GB,2020-01-04,C6,0.0,,,OxCGRT
2529060,2529060,GB,2020-01-04,C7,0.0,,,OxCGRT
2529061,2529061,GB,2020-01-04,C8,0.0,,,OxCGRT
2529062,2529062,GB,2020-01-04,Cases,,,,OxCGRT
2529063,2529063,GB,2020-01-04,Deaths,,,,OxCGRT
2529064,2529064,GB,2020-01-04,E1,0.0,,,OxCGRT
2529065,2529065,GB,2020-01-04,E2,0.0,,,OxCGRT
2529066,2529066,GB,2020-01-04,E3,0.0,,,OxCGRT
2529067,2529067,GB,2020-01-04,E4,0.0,,,OxCGRT
2529068,2529068,GB,2020-01-04,H1,0.0,,,OxCGRT
2529069,2529069,GB,2020-01-04,H2,0.0,,,OxCGRT
2529070,2529070,GB,2020-01-04,H3,0.0,,,OxCGRT
2529071,2529071,GB,2020-01-04,H4,0.0,,,OxCGRT
2529072,2529072,GB,2020-01-04,H5,0.0,,,OxCGRT
2529073,2529073,GB,2020-01-04,H6,0.0,,,OxCGRT
2529074,2529074,GB,2020-01-04,H7,0.0,,,OxCGRT
2529075,2529075,GB,2020-01-04,H8,0.0,,,OxCGRT
2529076,2529076,GB,2020-01-04,I1,0.0,,,OxCGRT
2529077,2529077,GB,2020-01-04,I1D,0.0,,,OxCGRT
2529078,2529078,GB,2020-01-04,I2,0.0,,,OxCGRT
2529079,2529079,GB,2020-01-04,I2D,0.0,,,OxCGRT
2529080,2529080,GB,2020-01-04,I3,0.0,,,OxCGRT
2529081,2529081,GB,2020-01-04,I3D,0.0,,,OxCGRT
2529082,2529082,GB,2020-01-04,I4,0.0,,,OxCGRT
2529083,2529083,GB,2020-01-04,I4D,0.0,,,OxCGRT
2529084,2529084,GB,2020-01-04,I4L,0.0,,,OxCGRT
2529085,2529085,GB,2020-01-04,I4LD,0.0,,,OxCGRT
2529086,2529086,GB,2020-01-04,M1,,,,OxCGRT
2529087,2529087,GB,2020-01-05,C1,0.0,,,OxCGRT
2529088,2529088,GB,2020-01-05,C2,0.0,,,OxCGRT
2529089,2529089,GB,2020-01-05,C3,0.0,,,OxCGRT
2529090,2529090,GB,2020-01-05,C4,0.0,,,OxCGRT
2529091,2529091,GB,2020-01-05,C5,0.0,,,OxCGRT
2529092,2529092,GB,2020-01-05,C6,0.0,,,OxCGRT
2529093,2529093,GB,2020-01-05,C7,0.0,,,OxCGRT
2529094,2529094,GB,2020-01-05,C8,0.0,,,OxCGRT
2529095,2529095,GB,2020-01-05,Cases,,,,OxCGRT
2529096,2529096,GB,2020-01-05,Deaths,,,,OxCGRT
2529097,2529097,GB,2020-01-05,E1,0.0,,,OxCGRT
2529098,2529098,GB,2020-01-05,E2,0.0,,,OxCGRT
2529099,2529099,GB,2020-01-05,E3,0.0,,,OxCGRT
2529100,2529100,GB,2020-01-05,E4,0.0,,,OxCGRT
2529101,2529101,GB,2020-01-05,H1,0.0,,,OxCGRT
2529102,2529102,GB,2020-01-05,H2,0.0,,,OxCGRT
2529103,2529103,GB,2020-01-05,H3,0.0,,,OxCGRT
2529104,2529104,GB,2020-01-05,H4,0.0,,,OxCGRT
2529105,2529105,GB,2020-01-05,H5,0.0,,,OxCGRT
2529106,2529106,GB,2020-01-05,H6,0.0,,,OxCGRT
2529107,2529107,GB,2020-01-05,H7,0.0,,,OxCGRT
2529108,2529108,GB,2020-01-05,H8,0.0,,,OxCGRT
2529109,2529109,GB,2020-01-05,I1,0.0,,,OxCGRT
2529110,2529110,GB,2020-01-05,I1D,0.0,,,OxCGRT
